qid,template,gold_size,pool_k,model,retrieved_size,candidate_size,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard
9,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
9,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
9,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
10,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
10,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
10,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
11,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
11,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
11,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
12,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
12,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
12,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
13,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
13,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
13,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
14,_,2,1000,BM25,100,1000,0.0,0.5,0.5,0.5,0.0,0.1532867981913646,0.1532867981913646,0.002,1.0,0.003992015968063872,0.002
14,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
14,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
15,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
15,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
15,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
16,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
16,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
16,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
17,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
17,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
17,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
18,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
18,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
18,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
19,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
19,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
19,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
20,_,2,1000,BM25,100,1000,0.0,0.5,0.5,0.5,0.0,0.17723928678404774,0.17723928678404774,0.002,1.0,0.003992015968063872,0.002
20,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
20,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
21,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
21,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
21,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
22,_,2,1000,BM25,100,1000,0.5,0.5,1.0,1.0,0.6131471927654584,0.6131471927654584,0.7299832563724276,0.002,1.0,0.003992015968063872,0.002
22,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
22,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
23,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
23,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
23,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
24,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
24,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
24,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
25,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.002,1.0,0.003992015968063872,0.002
25,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
25,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
26,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
26,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
26,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
27,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
27,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
27,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
28,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
28,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
28,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
29,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
29,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
29,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
30,_,2,1000,BM25,100,1000,0.5,0.5,1.0,1.0,0.23719771276929622,0.23719771276929622,0.34142759508928056,0.002,1.0,0.003992015968063872,0.002
30,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
30,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
31,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
31,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
31,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
32,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
32,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
32,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
33,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
33,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
33,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
34,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
34,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
34,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
35,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
35,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
35,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
36,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.002,1.0,0.003992015968063872,0.002
36,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
36,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
37,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
37,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
37,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
38,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
38,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
38,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
39,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
39,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
39,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
40,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
40,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
40,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
41,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
41,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
41,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
42,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
42,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
42,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
43,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
43,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
43,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
44,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
44,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
44,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
45,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
45,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
45,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
46,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
46,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
46,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
47,_,2,1000,BM25,100,1000,0.0,0.5,0.5,0.5,0.0,0.16569576576522954,0.16569576576522954,0.002,1.0,0.003992015968063872,0.002
47,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
47,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
48,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
48,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
48,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
49,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
49,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
49,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
50,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
50,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
50,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
51,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
51,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
51,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
52,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
52,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
52,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
53,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
53,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
53,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
54,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
54,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
54,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
55,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
55,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
55,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
56,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
56,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
56,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
57,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
57,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
57,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
58,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
58,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
58,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
59,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
59,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
59,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
60,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
60,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
60,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
